jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2017-02-28,-383.764,786.978,469.842,-849.254,-661.9350000000001,960.433,-1020.3899999999999,-746.798,380.35200000000003
2017-03-01,-383.08799999999997,788.443,470.86400000000003,-848.816,-661.851,957.7639999999999,-1019.225,-744.507,384.416
2017-03-02,-383.962,787.6999999999999,467.741,-849.758,-659.5680000000001,952.1059999999999,-1021.275,-746.421,378.50300000000004
2017-03-03,-385.64699999999993,790.15,474.47399999999993,-850.348,-660.092,959.5540000000001,-1020.13,-746.7239999999999,375.71999999999997
2017-03-04,-385.835,789.2979999999999,470.64700000000005,-849.926,-659.0970000000001,956.939,-1021.0790000000001,-745.3989999999999,381.59
2017-03-05,-386.238,787.835,467.916,-850.463,-658.2,949.5930000000001,-1021.3290000000002,-745.415,381.179
2017-03-06,-383.50300000000004,787.399,471.01000000000005,-852.044,-660.149,958.0120000000001,-1020.7040000000001,-746.452,384.787
2017-03-07,-385.79600000000005,790.1850000000001,469.21299999999997,-849.5370000000001,-657.267,954.93,-1024.467,-745.441,380.975
2017-03-08,-383.457,789.0390000000001,470.465,-851.151,-658.766,962.338,-1021.156,-747.026,384.175
2017-03-09,-381.61100000000005,788.119,474.738,-849.7549999999999,-659.7819999999999,963.525,-1018.667,-746.432,384.355
2017-03-10,-383.853,786.911,477.051,-850.5370000000001,-658.107,962.801,-1018.88,-747.4380000000001,390.242
2017-03-11,-382.92600000000004,789.143,479.071,-850.726,-660.396,965.5809999999999,-1018.757,-746.885,388.719
