jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2016-01-03,863.7819999999999,238.50300000000001,1059.423,87.549,1060.635,162.272,299.097,493.39399999999995,731.699,131.226,124.48699999999998,392.90599999999995,59.446000000000005,1057.0120000000002,997.5360000000001,925.3249999999999,79.39299999999999,176.951,639.528,696.332
2016-01-04,865.562,230.535,1062.699,78.37,1058.598,158.62300000000002,295.91499999999996,492.11800000000005,726.049,128.60399999999998,120.822,394.47900000000004,54.053,1054.016,991.856,918.967,75.265,172.68900000000002,634.352,695.1579999999999
2016-01-05,864.359,230.68800000000002,1061.333,82.79899999999999,1055.5729999999999,161.24099999999999,296.48600000000005,489.561,728.489,130.669,115.48,389.76,52.238,1051.641,996.3389999999999,922.69,73.928,174.396,637.042,694.874
2016-01-06,865.073,232.09699999999998,1065.2820000000002,83.98700000000001,1059.8670000000002,161.298,297.665,487.892,730.488,124.982,114.751,389.104,57.361000000000004,1054.967,995.756,917.234,72.36099999999999,176.734,636.8470000000001,690.759
2016-01-07,866.8209999999999,232.458,1060.526,83.825,1064.6219999999998,157.047,295.961,487.45500000000004,727.1310000000001,126.50200000000001,119.726,391.65900000000005,54.05199999999999,1056.054,995.5899999999999,920.518,69.66,174.846,635.9390000000001,688.159
2016-01-08,866.2719999999999,239.526,1061.556,89.287,1062.706,166.17200000000003,293.643,490.84499999999997,729.7739999999999,127.54599999999999,122.59200000000001,395.508,60.222,1058.252,998.7520000000001,925.0860000000001,73.05,179.47299999999998,638.46,689.231
2016-01-09,868.2299999999999,234.72899999999998,1063.897,87.325,1062.7,162.676,296.41100000000006,494.53400000000005,727.302,127.12200000000001,124.30199999999999,394.808,58.53,1056.4209999999998,998.9120000000001,925.4469999999999,79.10000000000001,180.357,638.414,690.959
2016-01-10,869.7969999999999,233.24499999999998,1058.023,85.576,1058.242,160.73900000000003,300.502,490.617,720.317,125.194,123.31700000000001,392.13200000000006,54.614999999999995,1054.836,994.915,927.2540000000001,72.705,178.57999999999998,635.691,690.0609999999999
2016-01-11,863.275,228.798,1057.558,81.43400000000001,1056.994,158.409,297.316,485.684,722.5590000000001,121.596,117.69200000000001,388.209,50.391999999999996,1053.9989999999998,989.2149999999999,919.6280000000002,66.291,173.52599999999998,634.054,690.89
2016-01-12,865.7959999999999,232.67600000000002,1052.959,84.307,1061.633,158.491,296.86799999999994,484.343,727.5310000000001,123.46099999999998,116.136,389.15500000000003,51.641,1055.1589999999999,996.5079999999999,918.094,70.498,174.01500000000001,637.378,686.788
